,missing_fraction
CP_t60,0.0
CP_t45,0.0
CP_t46,0.0
CP_t47,0.0
CP_t48,0.0
CP_t49,0.0
CP_t50,0.0
CP_t51,0.0
CP_t52,0.0
CP_t37,0.0
CP_t38,0.0
CP_t39,0.0
CP_t40,0.0
CP_t41,0.0
CP_t42,0.0
CP_t43,0.0
CP_t44,0.0
EPS1_t33,0.0
EPS1_t34,0.0
EPS1_t35,0.0
EPS1_t36,0.0
EPS1_t37,0.0
EPS1_t38,0.0
EPS1_t39,0.0
EPS1_t40,0.0
EPS1_t25,0.0
EPS1_t26,0.0
EPS1_t27,0.0
EPS1_t28,0.0
EPS1_t29,0.0
EPS1_t30,0.0
EPS1_t31,0.0
EPS1_t32,0.0
EPS1_t17,0.0
EPS1_t18,0.0
EPS1_t19,0.0
EPS1_t20,0.0
EPS1_t21,0.0
EPS1_t22,0.0
EPS1_t23,0.0
EPS1_t24,0.0
EPS1_t9,0.0
EPS1_t10,0.0
EPS1_t11,0.0
EPS1_t12,0.0
EPS1_t13,0.0
EPS1_t14,0.0
EPS1_t15,0.0
EPS1_t16,0.0
EPS1_t65,0.0
EPS1_t66,0.0
EPS1_t67,0.0
EPS1_t68,0.0
EPS1_t69,0.0
EPS1_t70,0.0
EPS1_t71,0.0
EPS1_t72,0.0
EPS1_t57,0.0
EPS1_t58,0.0
EPS1_t59,0.0
EPS1_t60,0.0
EPS1_t61,0.0
EPS1_t62,0.0
EPS1_t63,0.0
EPS1_t64,0.0
EPS1_t49,0.0
EPS1_t50,0.0
EPS1_t51,0.0
EPS1_t52,0.0
EPS1_t53,0.0
EPS1_t54,0.0
EPS1_t55,0.0
EPS1_t56,0.0
EPS1_t41,0.0
EPS1_t42,0.0
EPS1_t43,0.0
EPS1_t44,0.0
EPS1_t45,0.0
EPS1_t46,0.0
EPS1_t47,0.0
EPS1_t48,0.0
EPS1_t97,0.0
EPS1_t98,0.0
EPS1_t99,0.0
EPS1_t100,0.0
EPS1_t101,0.0
EPS1_t102,0.0
EPS1_t103,0.0
EPS1_t104,0.0
EPS1_t89,0.0
EPS1_t90,0.0
EPS1_t91,0.0
EPS1_t92,0.0
EPS1_t93,0.0
EPS1_t94,0.0
EPS1_t95,0.0
EPS1_t96,0.0
EPS1_t81,0.0
EPS1_t82,0.0
EPS1_t83,0.0
EPS1_t84,0.0
EPS1_t85,0.0
EPS1_t86,0.0
EPS1_t87,0.0
EPS1_t88,0.0
EPS1_t73,0.0
EPS1_t74,0.0
EPS1_t75,0.0
EPS1_t76,0.0
EPS1_t77,0.0
EPS1_t78,0.0
EPS1_t79,0.0
EPS1_t80,0.0
EPS1_t129,0.0
EPS1_t130,0.0
EPS1_t131,0.0
EPS1_t132,0.0
EPS1_t133,0.0
EPS1_t134,0.0
EPS1_t135,0.0
EPS1_t136,0.0
EPS1_t121,0.0
EPS1_t122,0.0
EPS1_t123,0.0
EPS1_t124,0.0
EPS1_t125,0.0
EPS1_t126,0.0
EPS1_t127,0.0
EPS1_t128,0.0
EPS1_t113,0.0
EPS1_t114,0.0
EPS1_t115,0.0
EPS1_t116,0.0
EPS1_t117,0.0
EPS1_t118,0.0
EPS1_t119,0.0
EPS1_t120,0.0
EPS1_t105,0.0
EPS1_t106,0.0
EPS1_t107,0.0
EPS1_t108,0.0
EPS1_t109,0.0
EPS1_t110,0.0
EPS1_t111,0.0
EPS1_t112,0.0
EPS1_t161,0.0
EPS1_t162,0.0
EPS1_t163,0.0
EPS1_t164,0.0
EPS1_t165,0.0
EPS1_t166,0.0
EPS1_t167,0.0
EPS1_t168,0.0
EPS1_t153,0.0
EPS1_t154,0.0
EPS1_t155,0.0
EPS1_t156,0.0
EPS1_t157,0.0
EPS1_t158,0.0
EPS1_t159,0.0
EPS1_t160,0.0
EPS1_t145,0.0
EPS1_t146,0.0
EPS1_t147,0.0
EPS1_t148,0.0
EPS1_t149,0.0
EPS1_t150,0.0
EPS1_t151,0.0
EPS1_t152,0.0
EPS1_t137,0.0
EPS1_t138,0.0
EPS1_t139,0.0
EPS1_t140,0.0
EPS1_t141,0.0
EPS1_t142,0.0
EPS1_t143,0.0
EPS1_t144,0.0
EPS1_t193,0.0
EPS1_t194,0.0
EPS1_t195,0.0
EPS1_t196,0.0
EPS1_t197,0.0
EPS1_t198,0.0
EPS1_t199,0.0
EPS1_t200,0.0
EPS1_t185,0.0
EPS1_t186,0.0
EPS1_t187,0.0
EPS1_t188,0.0
EPS1_t189,0.0
EPS1_t190,0.0
EPS1_t191,0.0
EPS1_t192,0.0
EPS1_t177,0.0
EPS1_t178,0.0
EPS1_t179,0.0
EPS1_t180,0.0
EPS1_t181,0.0
EPS1_t182,0.0
EPS1_t183,0.0
EPS1_t184,0.0
EPS1_t169,0.0
EPS1_t170,0.0
EPS1_t171,0.0
EPS1_t172,0.0
EPS1_t173,0.0
EPS1_t174,0.0
EPS1_t175,0.0
EPS1_t176,0.0
EPS1_t225,0.0
EPS1_t226,0.0
EPS1_t227,0.0
EPS1_t228,0.0
EPS1_t229,0.0
EPS1_t230,0.0
EPS1_t231,0.0
EPS1_t232,0.0
EPS1_t217,0.0
EPS1_t218,0.0
EPS1_t219,0.0
EPS1_t220,0.0
EPS1_t221,0.0
EPS1_t222,0.0
EPS1_t223,0.0
EPS1_t224,0.0
EPS1_t209,0.0
EPS1_t210,0.0
EPS1_t211,0.0
EPS1_t212,0.0
EPS1_t213,0.0
EPS1_t214,0.0
EPS1_t215,0.0
EPS1_t216,0.0
EPS1_t201,0.0
EPS1_t202,0.0
EPS1_t203,0.0
EPS1_t204,0.0
EPS1_t205,0.0
EPS1_t206,0.0
EPS1_t207,0.0
EPS1_t208,0.0
EPS1_t257,0.0
EPS1_t258,0.0
EPS1_t259,0.0
EPS1_t260,0.0
EPS1_t261,0.0
EPS1_t262,0.0
EPS1_t263,0.0
EPS1_t264,0.0
EPS1_t249,0.0
EPS1_t250,0.0
EPS1_t251,0.0
EPS1_t252,0.0
EPS1_t253,0.0
EPS1_t254,0.0
EPS1_t255,0.0
EPS1_t256,0.0
EPS1_t241,0.0
EPS1_t242,0.0
EPS1_t243,0.0
EPS1_t244,0.0
EPS1_t245,0.0
EPS1_t246,0.0
EPS1_t247,0.0
EPS1_t248,0.0
EPS1_t233,0.0
EPS1_t234,0.0
EPS1_t235,0.0
EPS1_t236,0.0
EPS1_t237,0.0
EPS1_t238,0.0
EPS1_t239,0.0
EPS1_t240,0.0
EPS1_t289,0.0
EPS1_t290,0.0
EPS1_t291,0.0
EPS1_t292,0.0
EPS1_t293,0.0
EPS1_t294,0.0
EPS1_t295,0.0
EPS1_t296,0.0
EPS1_t281,0.0
EPS1_t282,0.0
EPS1_t283,0.0
EPS1_t284,0.0
EPS1_t285,0.0
EPS1_t286,0.0
EPS1_t287,0.0
EPS1_t288,0.0
EPS1_t273,0.0
EPS1_t274,0.0
EPS1_t275,0.0
EPS1_t276,0.0
EPS1_t277,0.0
EPS1_t278,0.0
EPS1_t279,0.0
EPS1_t280,0.0
EPS1_t265,0.0
EPS1_t266,0.0
EPS1_t267,0.0
EPS1_t268,0.0
EPS1_t269,0.0
EPS1_t270,0.0
EPS1_t271,0.0
EPS1_t272,0.0
EPS1_t321,0.0
EPS1_t322,0.0
EPS1_t323,0.0
EPS1_t324,0.0
EPS1_t325,0.0
EPS1_t326,0.0
EPS1_t327,0.0
EPS1_t328,0.0
EPS1_t313,0.0
EPS1_t314,0.0
EPS1_t315,0.0
EPS1_t316,0.0
EPS1_t317,0.0
EPS1_t318,0.0
EPS1_t319,0.0
EPS1_t320,0.0
EPS1_t305,0.0
EPS1_t306,0.0
EPS1_t307,0.0
EPS1_t308,0.0
EPS1_t309,0.0
EPS1_t310,0.0
EPS1_t311,0.0
EPS1_t312,0.0
EPS1_t297,0.0
EPS1_t298,0.0
EPS1_t299,0.0
EPS1_t300,0.0
EPS1_t301,0.0
EPS1_t302,0.0
EPS1_t303,0.0
EPS1_t304,0.0
EPS1_t353,0.0
EPS1_t354,0.0
EPS1_t355,0.0
EPS1_t356,0.0
EPS1_t357,0.0
EPS1_t358,0.0
EPS1_t359,0.0
EPS1_t360,0.0
EPS1_t345,0.0
EPS1_t346,0.0
EPS1_t347,0.0
EPS1_t348,0.0
EPS1_t349,0.0
EPS1_t350,0.0
EPS1_t351,0.0
EPS1_t352,0.0
EPS1_t337,0.0
EPS1_t338,0.0
EPS1_t339,0.0
EPS1_t340,0.0
EPS1_t341,0.0
EPS1_t342,0.0
EPS1_t343,0.0
EPS1_t344,0.0
EPS1_t329,0.0
EPS1_t330,0.0
EPS1_t331,0.0
EPS1_t332,0.0
EPS1_t333,0.0
EPS1_t334,0.0
EPS1_t335,0.0
EPS1_t336,0.0
EPS1_t385,0.0
EPS1_t386,0.0
EPS1_t387,0.0
EPS1_t388,0.0
EPS1_t389,0.0
EPS1_t390,0.0
EPS1_t391,0.0
EPS1_t392,0.0
EPS1_t377,0.0
EPS1_t378,0.0
EPS1_t379,0.0
EPS1_t380,0.0
EPS1_t381,0.0
EPS1_t382,0.0
EPS1_t383,0.0
EPS1_t384,0.0
EPS1_t369,0.0
EPS1_t370,0.0
EPS1_t371,0.0
EPS1_t372,0.0
EPS1_t373,0.0
EPS1_t374,0.0
EPS1_t375,0.0
EPS1_t376,0.0
EPS1_t361,0.0
EPS1_t362,0.0
EPS1_t363,0.0
EPS1_t364,0.0
EPS1_t365,0.0
EPS1_t366,0.0
EPS1_t367,0.0
EPS1_t368,0.0
EPS1_t417,0.0
EPS1_t418,0.0
EPS1_t419,0.0
EPS1_t420,0.0
EPS1_t421,0.0
EPS1_t422,0.0
EPS1_t423,0.0
EPS1_t424,0.0
EPS1_t409,0.0
EPS1_t410,0.0
EPS1_t411,0.0
EPS1_t412,0.0
EPS1_t413,0.0
EPS1_t414,0.0
EPS1_t415,0.0
EPS1_t416,0.0
EPS1_t401,0.0
EPS1_t402,0.0
EPS1_t403,0.0
EPS1_t404,0.0
EPS1_t405,0.0
EPS1_t406,0.0
EPS1_t407,0.0
EPS1_t408,0.0
EPS1_t393,0.0
EPS1_t394,0.0
EPS1_t395,0.0
EPS1_t396,0.0
EPS1_t397,0.0
EPS1_t398,0.0
EPS1_t399,0.0
EPS1_t400,0.0
EPS1_t449,0.0
EPS1_t450,0.0
EPS1_t451,0.0
EPS1_t452,0.0
EPS1_t453,0.0
EPS1_t454,0.0
EPS1_t455,0.0
EPS1_t456,0.0
EPS1_t441,0.0
EPS1_t442,0.0
EPS1_t443,0.0
EPS1_t444,0.0
EPS1_t445,0.0
EPS1_t446,0.0
EPS1_t447,0.0
EPS1_t448,0.0
EPS1_t433,0.0
EPS1_t434,0.0
EPS1_t435,0.0
EPS1_t436,0.0
EPS1_t437,0.0
EPS1_t438,0.0
EPS1_t439,0.0
EPS1_t440,0.0
EPS1_t425,0.0
EPS1_t426,0.0
EPS1_t427,0.0
EPS1_t428,0.0
EPS1_t429,0.0
EPS1_t430,0.0
EPS1_t431,0.0
EPS1_t432,0.0
EPS1_t481,0.0
EPS1_t482,0.0
EPS1_t483,0.0
EPS1_t484,0.0
EPS1_t485,0.0
EPS1_t486,0.0
EPS1_t487,0.0
EPS1_t488,0.0
EPS1_t473,0.0
EPS1_t474,0.0
EPS1_t475,0.0
EPS1_t476,0.0
EPS1_t477,0.0
EPS1_t478,0.0
EPS1_t479,0.0
EPS1_t480,0.0
EPS1_t465,0.0
EPS1_t466,0.0
EPS1_t467,0.0
EPS1_t468,0.0
EPS1_t469,0.0
EPS1_t470,0.0
EPS1_t471,0.0
EPS1_t472,0.0
EPS1_t457,0.0
EPS1_t458,0.0
EPS1_t459,0.0
EPS1_t460,0.0
EPS1_t461,0.0
EPS1_t462,0.0
EPS1_t463,0.0
EPS1_t464,0.0
EPS1_t513,0.0
EPS1_t514,0.0
EPS1_t515,0.0
EPS1_t516,0.0
EPS1_t517,0.0
EPS1_t518,0.0
EPS1_t519,0.0
EPS1_t520,0.0
EPS1_t505,0.0
EPS1_t506,0.0
EPS1_t507,0.0
EPS1_t508,0.0
EPS1_t509,0.0
EPS1_t510,0.0
EPS1_t511,0.0
EPS1_t512,0.0
EPS1_t497,0.0
EPS1_t498,0.0
EPS1_t499,0.0
EPS1_t500,0.0
EPS1_t501,0.0
EPS1_t502,0.0
EPS1_t503,0.0
EPS1_t504,0.0
EPS1_t489,0.0
EPS1_t490,0.0
EPS1_t491,0.0
EPS1_t492,0.0
EPS1_t493,0.0
EPS1_t494,0.0
EPS1_t495,0.0
EPS1_t496,0.0
EPS1_t545,0.0
EPS1_t546,0.0
EPS1_t547,0.0
EPS1_t548,0.0
EPS1_t549,0.0
EPS1_t550,0.0
EPS1_t551,0.0
EPS1_t552,0.0
EPS1_t537,0.0
EPS1_t538,0.0
EPS1_t539,0.0
EPS1_t540,0.0
EPS1_t541,0.0
EPS1_t542,0.0
EPS1_t543,0.0
EPS1_t544,0.0
EPS1_t529,0.0
EPS1_t530,0.0
EPS1_t531,0.0
EPS1_t532,0.0
EPS1_t533,0.0
EPS1_t534,0.0
EPS1_t535,0.0
EPS1_t536,0.0
EPS1_t521,0.0
EPS1_t522,0.0
EPS1_t523,0.0
EPS1_t524,0.0
EPS1_t525,0.0
EPS1_t526,0.0
EPS1_t527,0.0
EPS1_t528,0.0
EPS1_t577,0.0
EPS1_t578,0.0
EPS1_t579,0.0
EPS1_t580,0.0
EPS1_t581,0.0
EPS1_t582,0.0
EPS1_t583,0.0
EPS1_t584,0.0
EPS1_t569,0.0
EPS1_t570,0.0
EPS1_t571,0.0
EPS1_t572,0.0
EPS1_t573,0.0
EPS1_t574,0.0
EPS1_t575,0.0
EPS1_t576,0.0
EPS1_t561,0.0
EPS1_t562,0.0
EPS1_t563,0.0
EPS1_t564,0.0
EPS1_t565,0.0
EPS1_t566,0.0
EPS1_t567,0.0
EPS1_t568,0.0
EPS1_t553,0.0
EPS1_t554,0.0
EPS1_t555,0.0
EPS1_t556,0.0
EPS1_t557,0.0
EPS1_t558,0.0
EPS1_t559,0.0
EPS1_t560,0.0
EPS1_t609,0.0
EPS1_t610,0.0
EPS1_t611,0.0
EPS1_t612,0.0
EPS1_t613,0.0
EPS1_t614,0.0
EPS1_t615,0.0
EPS1_t616,0.0
EPS1_t601,0.0
EPS1_t602,0.0
EPS1_t603,0.0
EPS1_t604,0.0
EPS1_t605,0.0
EPS1_t606,0.0
EPS1_t607,0.0
EPS1_t608,0.0
EPS1_t593,0.0
EPS1_t594,0.0
EPS1_t595,0.0
EPS1_t596,0.0
EPS1_t597,0.0
EPS1_t598,0.0
EPS1_t599,0.0
EPS1_t600,0.0
EPS1_t585,0.0
EPS1_t586,0.0
EPS1_t587,0.0
EPS1_t588,0.0
EPS1_t589,0.0
EPS1_t590,0.0
EPS1_t591,0.0
EPS1_t592,0.0
EPS1_t641,0.0
EPS1_t642,0.0
EPS1_t643,0.0
EPS1_t644,0.0
EPS1_t645,0.0
EPS1_t646,0.0
EPS1_t647,0.0
EPS1_t648,0.0
EPS1_t633,0.0
EPS1_t634,0.0
EPS1_t635,0.0
EPS1_t636,0.0
EPS1_t637,0.0
EPS1_t638,0.0
EPS1_t639,0.0
EPS1_t640,0.0
EPS1_t625,0.0
EPS1_t626,0.0
EPS1_t627,0.0
EPS1_t628,0.0
EPS1_t629,0.0
EPS1_t630,0.0
EPS1_t631,0.0
EPS1_t632,0.0
EPS1_t617,0.0
EPS1_t618,0.0
EPS1_t619,0.0
EPS1_t620,0.0
EPS1_t621,0.0
EPS1_t622,0.0
EPS1_t623,0.0
EPS1_t624,0.0
EPS1_t673,0.0
EPS1_t674,0.0
EPS1_t675,0.0
EPS1_t676,0.0
EPS1_t677,0.0
EPS1_t678,0.0
EPS1_t679,0.0
EPS1_t680,0.0
EPS1_t665,0.0
EPS1_t666,0.0
EPS1_t667,0.0
EPS1_t668,0.0
EPS1_t669,0.0
EPS1_t670,0.0
EPS1_t671,0.0
EPS1_t672,0.0
EPS1_t657,0.0
EPS1_t658,0.0
EPS1_t659,0.0
EPS1_t660,0.0
EPS1_t661,0.0
EPS1_t662,0.0
EPS1_t663,0.0
EPS1_t664,0.0
EPS1_t649,0.0
EPS1_t650,0.0
EPS1_t651,0.0
EPS1_t652,0.0
EPS1_t653,0.0
EPS1_t654,0.0
EPS1_t655,0.0
EPS1_t656,0.0
EPS1_t705,0.0
EPS1_t706,0.0
EPS1_t707,0.0
EPS1_t708,0.0
EPS1_t709,0.0
EPS1_t710,0.0
EPS1_t711,0.0
EPS1_t712,0.0
EPS1_t697,0.0
EPS1_t698,0.0
EPS1_t699,0.0
EPS1_t700,0.0
EPS1_t701,0.0
EPS1_t702,0.0
EPS1_t703,0.0
EPS1_t704,0.0
EPS1_t689,0.0
EPS1_t690,0.0
EPS1_t691,0.0
EPS1_t692,0.0
EPS1_t693,0.0
EPS1_t694,0.0
EPS1_t695,0.0
EPS1_t696,0.0
EPS1_t681,0.0
EPS1_t682,0.0
EPS1_t683,0.0
EPS1_t684,0.0
EPS1_t685,0.0
EPS1_t686,0.0
EPS1_t687,0.0
EPS1_t688,0.0
EPS1_t737,0.0
EPS1_t738,0.0
EPS1_t739,0.0
EPS1_t740,0.0
EPS1_t741,0.0
EPS1_t742,0.0
EPS1_t743,0.0
EPS1_t744,0.0
EPS1_t729,0.0
EPS1_t730,0.0
EPS1_t731,0.0
EPS1_t732,0.0
EPS1_t733,0.0
EPS1_t734,0.0
EPS1_t735,0.0
EPS1_t736,0.0
EPS1_t721,0.0
EPS1_t722,0.0
EPS1_t723,0.0
EPS1_t724,0.0
EPS1_t725,0.0
EPS1_t726,0.0
EPS1_t727,0.0
EPS1_t728,0.0
EPS1_t713,0.0
EPS1_t714,0.0
EPS1_t715,0.0
EPS1_t716,0.0
EPS1_t717,0.0
EPS1_t718,0.0
EPS1_t719,0.0
EPS1_t720,0.0
EPS1_t769,0.0
EPS1_t770,0.0
EPS1_t771,0.0
EPS1_t772,0.0
EPS1_t773,0.0
EPS1_t774,0.0
EPS1_t775,0.0
EPS1_t776,0.0
EPS1_t761,0.0
EPS1_t762,0.0
EPS1_t763,0.0
EPS1_t764,0.0
EPS1_t765,0.0
EPS1_t766,0.0
EPS1_t767,0.0
EPS1_t768,0.0
EPS1_t753,0.0
EPS1_t754,0.0
EPS1_t755,0.0
EPS1_t756,0.0
EPS1_t757,0.0
EPS1_t758,0.0
EPS1_t759,0.0
EPS1_t760,0.0
EPS1_t745,0.0
EPS1_t746,0.0
EPS1_t747,0.0
EPS1_t748,0.0
EPS1_t749,0.0
EPS1_t750,0.0
EPS1_t751,0.0
EPS1_t752,0.0
EPS1_t801,0.0
EPS1_t802,0.0
EPS1_t803,0.0
EPS1_t804,0.0
EPS1_t805,0.0
EPS1_t806,0.0
EPS1_t807,0.0
EPS1_t808,0.0
EPS1_t793,0.0
EPS1_t794,0.0
EPS1_t795,0.0
EPS1_t796,0.0
EPS1_t797,0.0
EPS1_t798,0.0
EPS1_t799,0.0
EPS1_t800,0.0
EPS1_t785,0.0
EPS1_t786,0.0
EPS1_t787,0.0
EPS1_t788,0.0
EPS1_t789,0.0
EPS1_t790,0.0
EPS1_t791,0.0
EPS1_t792,0.0
EPS1_t777,0.0
EPS1_t778,0.0
EPS1_t779,0.0
EPS1_t780,0.0
EPS1_t781,0.0
EPS1_t782,0.0
EPS1_t783,0.0
EPS1_t784,0.0
EPS1_t833,0.0
EPS1_t834,0.0
EPS1_t835,0.0
EPS1_t836,0.0
EPS1_t837,0.0
EPS1_t838,0.0
EPS1_t839,0.0
EPS1_t840,0.0
EPS1_t825,0.0
EPS1_t826,0.0
EPS1_t827,0.0
EPS1_t828,0.0
EPS1_t829,0.0
EPS1_t830,0.0
EPS1_t831,0.0
EPS1_t832,0.0
EPS1_t817,0.0
EPS1_t818,0.0
EPS1_t819,0.0
EPS1_t820,0.0
EPS1_t821,0.0
EPS1_t822,0.0
EPS1_t823,0.0
EPS1_t824,0.0
EPS1_t809,0.0
EPS1_t810,0.0
EPS1_t811,0.0
EPS1_t812,0.0
EPS1_t813,0.0
EPS1_t814,0.0
EPS1_t815,0.0
EPS1_t816,0.0
EPS1_t865,0.0
EPS1_t866,0.0
EPS1_t867,0.0
EPS1_t868,0.0
EPS1_t869,0.0
EPS1_t870,0.0
EPS1_t871,0.0
EPS1_t872,0.0
EPS1_t857,0.0
EPS1_t858,0.0
EPS1_t859,0.0
EPS1_t860,0.0
EPS1_t861,0.0
EPS1_t862,0.0
EPS1_t863,0.0
EPS1_t864,0.0
EPS1_t849,0.0
EPS1_t850,0.0
EPS1_t851,0.0
EPS1_t852,0.0
EPS1_t853,0.0
EPS1_t854,0.0
EPS1_t855,0.0
EPS1_t856,0.0
EPS1_t841,0.0
EPS1_t842,0.0
EPS1_t843,0.0
EPS1_t844,0.0
EPS1_t845,0.0
EPS1_t846,0.0
EPS1_t847,0.0
EPS1_t848,0.0
EPS1_t897,0.0
EPS1_t898,0.0
EPS1_t899,0.0
EPS1_t900,0.0
EPS1_t901,0.0
EPS1_t902,0.0
EPS1_t903,0.0
EPS1_t904,0.0
EPS1_t889,0.0
EPS1_t890,0.0
EPS1_t891,0.0
EPS1_t892,0.0
EPS1_t893,0.0
EPS1_t894,0.0
EPS1_t895,0.0
EPS1_t896,0.0
EPS1_t881,0.0
EPS1_t882,0.0
EPS1_t883,0.0
EPS1_t884,0.0
EPS1_t885,0.0
EPS1_t886,0.0
EPS1_t887,0.0
EPS1_t888,0.0
EPS1_t873,0.0
EPS1_t874,0.0
EPS1_t875,0.0
EPS1_t876,0.0
EPS1_t877,0.0
EPS1_t878,0.0
EPS1_t879,0.0
EPS1_t880,0.0
EPS1_t929,0.0
EPS1_t930,0.0
EPS1_t931,0.0
EPS1_t932,0.0
EPS1_t933,0.0
EPS1_t934,0.0
EPS1_t935,0.0
EPS1_t936,0.0
EPS1_t921,0.0
EPS1_t922,0.0
EPS1_t923,0.0
EPS1_t924,0.0
EPS1_t925,0.0
EPS1_t926,0.0
EPS1_t927,0.0
EPS1_t928,0.0
EPS1_t913,0.0
EPS1_t914,0.0
EPS1_t915,0.0
EPS1_t916,0.0
EPS1_t917,0.0
EPS1_t918,0.0
EPS1_t919,0.0
EPS1_t920,0.0
EPS1_t905,0.0
EPS1_t906,0.0
EPS1_t907,0.0
EPS1_t908,0.0
EPS1_t909,0.0
EPS1_t910,0.0
EPS1_t911,0.0
EPS1_t912,0.0
EPS1_t961,0.0
EPS1_t962,0.0
EPS1_t963,0.0
EPS1_t964,0.0
EPS1_t965,0.0
EPS1_t966,0.0
EPS1_t967,0.0
EPS1_t968,0.0
EPS1_t953,0.0
EPS1_t954,0.0
EPS1_t955,0.0
EPS1_t956,0.0
EPS1_t957,0.0
EPS1_t958,0.0
EPS1_t959,0.0
EPS1_t960,0.0
EPS1_t945,0.0
EPS1_t946,0.0
EPS1_t947,0.0
EPS1_t948,0.0
EPS1_t949,0.0
EPS1_t950,0.0
EPS1_t951,0.0
EPS1_t952,0.0
EPS1_t937,0.0
EPS1_t938,0.0
EPS1_t939,0.0
EPS1_t940,0.0
EPS1_t941,0.0
EPS1_t942,0.0
EPS1_t943,0.0
EPS1_t944,0.0
EPS1_t993,0.0
EPS1_t994,0.0
EPS1_t995,0.0
EPS1_t996,0.0
EPS1_t997,0.0
EPS1_t998,0.0
EPS1_t999,0.0
EPS1_t1000,0.0
EPS1_t985,0.0
EPS1_t986,0.0
EPS1_t987,0.0
EPS1_t988,0.0
EPS1_t989,0.0
EPS1_t990,0.0
EPS1_t991,0.0
EPS1_t992,0.0
EPS1_t977,0.0
EPS1_t978,0.0
EPS1_t979,0.0
EPS1_t980,0.0
EPS1_t981,0.0
EPS1_t982,0.0
EPS1_t983,0.0
EPS1_t984,0.0
EPS1_t969,0.0
EPS1_t970,0.0
EPS1_t971,0.0
EPS1_t972,0.0
EPS1_t973,0.0
EPS1_t974,0.0
EPS1_t975,0.0
EPS1_t976,0.0
EPS1_t1025,0.0
EPS1_t1026,0.0
EPS1_t1027,0.0
EPS1_t1028,0.0
EPS1_t1029,0.0
EPS1_t1030,0.0
EPS1_t1031,0.0
EPS1_t1032,0.0
EPS1_t1017,0.0
EPS1_t1018,0.0
EPS1_t1019,0.0
EPS1_t1020,0.0
EPS1_t1021,0.0
EPS1_t1022,0.0
EPS1_t1023,0.0
EPS1_t1024,0.0
EPS1_t1009,0.0
EPS1_t1010,0.0
EPS1_t1011,0.0
EPS1_t1012,0.0
EPS1_t1013,0.0
EPS1_t1014,0.0
EPS1_t1015,0.0
EPS1_t1016,0.0
EPS1_t1001,0.0
EPS1_t1002,0.0
EPS1_t1003,0.0
EPS1_t1004,0.0
EPS1_t1005,0.0
EPS1_t1006,0.0
EPS1_t1007,0.0
EPS1_t1008,0.0
EPS1_t1057,0.0
EPS1_t1058,0.0
EPS1_t1059,0.0
EPS1_t1060,0.0
EPS1_t1061,0.0
EPS1_t1062,0.0
EPS1_t1063,0.0
EPS1_t1064,0.0
EPS1_t1049,0.0
EPS1_t1050,0.0
EPS1_t1051,0.0
EPS1_t1052,0.0
EPS1_t1053,0.0
EPS1_t1054,0.0
EPS1_t1055,0.0
EPS1_t1056,0.0
EPS1_t1041,0.0
EPS1_t1042,0.0
EPS1_t1043,0.0
EPS1_t1044,0.0
EPS1_t1045,0.0
EPS1_t1046,0.0
EPS1_t1047,0.0
EPS1_t1048,0.0
EPS1_t1033,0.0
