,count,mean,std,min,25%,50%,75%,max
CE_t31,2205.0,31.374950566893425,11.624779210158868,17.615,20.019,27.547,46.763,48.175
CE_t32,2205.0,31.357086621315194,11.621906804263844,17.807,20.014,27.519,46.737,48.127
CE_t33,2205.0,31.32561179138322,11.614568691364772,17.507,20.059,27.453,46.717,48.185
CE_t34,2205.0,31.281180952380954,11.60832111833526,17.446,20.056,27.385,46.653,48.198
CE_t35,2205.0,31.223259410430845,11.620011877975466,17.495,19.997,27.334,46.609,48.115
CE_t36,2205.0,31.165082086167796,11.633342912641819,17.228,19.895,27.241,46.581,48.027
CE_t37,2205.0,31.111211337868475,11.648202131463247,17.199,19.805,27.157,46.544,47.978
CE_t38,2205.0,31.080782766439903,11.658261398012367,17.211,19.792,27.113,46.54,47.965
CE_t39,2205.0,31.0815537414966,11.663131825600864,17.167,19.741,27.11,46.544,47.968
CE_t40,2205.0,31.09629024943311,11.651954031858546,17.263,19.764,27.148,46.544,47.945
CE_t41,2205.0,31.11436961451247,11.631783423512847,17.199,19.829,27.173,46.533,48.053
CE_t42,2205.0,31.143215873015873,11.604842989459273,17.042,19.901,27.198,46.539,47.945
CE_t43,2205.0,31.16120272108843,11.582543688499511,17.087,19.991,27.203,46.544,47.993
CE_t44,2205.0,31.15517777777778,11.560380199019244,17.087,20.01,27.167,46.488,47.969
CE_t45,2205.0,31.13717596371882,11.554536129531975,17.113,20.009,27.139,46.503,48.017
CE_t46,2205.0,31.103638095238093,11.555208924943441,17.107,19.956,27.106,46.463,47.859
CE_t47,2205.0,31.068178231292517,11.558137324714082,17.042,19.888,27.047,46.445,47.856
CE_t48,2205.0,31.043951927437636,11.559808527200106,17.085,19.883,27.012,46.418,47.914
CE_t49,2205.0,31.042972335600908,11.550637107123151,17.114,19.86,26.998,46.424,47.798
CE_t50,2205.0,31.05905351473923,11.535241033987907,17.184,19.895,27.032,46.417,47.913
CE_t51,2205.0,31.087899319727892,11.514661939996316,17.293,19.944,27.061,46.415,47.923
CE_t52,2205.0,31.120327891156464,11.492641799939328,17.283,20.016,27.1,46.396,48.042
CE_t53,2205.0,31.142691156462583,11.478266083254228,17.188,20.079,27.115,46.42,47.947
CE_t54,2205.0,31.155982312925165,11.475240191396061,17.271,20.143,27.123,46.424,47.876
CE_t55,2205.0,31.15202902494331,11.483747458619488,17.314,20.151,27.116,46.448,47.946
CE_t56,2205.0,31.134627210884354,11.503765461921109,17.201,20.127,27.087,46.452,48.03
CE_t57,2205.0,31.125789115646253,11.525015722043413,17.283,20.068,27.067,46.462,47.994
CE_t58,2205.0,31.125212244897963,11.533142250763547,17.201,20.014,27.073,46.467,48.005
CE_t59,2205.0,31.145240816326528,11.533427773262188,17.324,19.991,27.105,46.485,47.964
CE_t60,2205.0,31.28053469387755,11.547105608114649,17.332,20.115,27.25,46.625,48.266
CP_t1,2205.0,1.8081800453514738,0.27248261697332093,1.083,1.558,1.736,2.138,2.839
CP_t2,2205.0,1.8108467120181406,0.2710283921986696,1.081,1.564,1.74,2.139,2.837
CP_t3,2205.0,1.8122834467120181,0.2709346026510911,1.076,1.569,1.741,2.14,2.843
CP_t4,2205.0,1.8132131519274375,0.2713306190201797,1.061,1.571,1.741,2.141,2.843
CP_t5,2205.0,1.813780045351474,0.2724527234851593,1.055,1.57,1.741,2.142,2.865
CP_t6,2205.0,1.8125360544217688,0.2737297443663184,1.056,1.568,1.741,2.143,2.864
CP_t7,2205.0,1.8104811791383222,0.27472698910568216,1.054,1.56,1.74,2.142,2.862
CP_t8,2205.0,1.809572335600907,0.2753466810910798,1.056,1.557,1.74,2.142,2.862
CP_t9,2205.0,1.8047659863945578,0.2746493055490164,1.024,1.556,1.736,2.135,2.85
CP_t10,2205.0,1.8006585034013605,0.27381939105365954,1.032,1.55,1.734,2.131,2.841
CP_t11,2205.0,1.8008920634920635,0.27237036270256265,1.016,1.552,1.735,2.128,2.845
CP_t12,2205.0,1.803013605442177,0.27249166356305227,1.02,1.561,1.736,2.129,2.843
CP_t13,2205.0,1.8049310657596374,0.2731024862989789,1.03,1.561,1.736,2.131,2.858
CP_t14,2205.0,1.808174149659864,0.27390111507222603,1.033,1.565,1.742,2.134,2.856
CP_t15,2205.0,1.813218140589569,0.27716052965546945,1.046,1.565,1.752,2.146,2.86
CP_t16,2205.0,1.8173895691609978,0.27975358482324536,1.036,1.566,1.755,2.153,2.865
CP_t17,2205.0,1.8227265306122447,0.2829499148425722,1.057,1.565,1.759,2.159,2.88
CP_t18,2205.0,1.8276839002267573,0.2851832956268013,1.073,1.566,1.766,2.172,2.883
CP_t19,2205.0,1.8323034013605444,0.2864405152822145,1.047,1.568,1.775,2.176,2.895
CP_t20,2205.0,1.8366036281179139,0.2865604885507526,1.056,1.573,1.779,2.179,2.894
CP_t21,2205.0,1.840609977324263,0.2850594666686785,1.071,1.579,1.78,2.181,2.905
CP_t22,2205.0,1.8427056689342405,0.28335258091025384,1.073,1.583,1.782,2.182,2.909
CP_t23,2205.0,1.841715192743764,0.2827227396640732,1.07,1.584,1.778,2.181,2.896
CP_t24,2205.0,1.8396671201814057,0.28201979540950495,1.071,1.583,1.777,2.179,2.897
CP_t25,2205.0,1.8358544217687076,0.28130855451718817,1.07,1.58,1.774,2.175,2.865
CP_t26,2205.0,1.8306984126984127,0.2822341628970362,1.052,1.571,1.763,2.171,2.871
CP_t27,2205.0,1.827282993197279,0.2825620416047208,1.043,1.564,1.762,2.166,2.86
CP_t28,2205.0,1.8235024943310656,0.28310622860876544,1.047,1.557,1.761,2.161,2.864
CP_t29,2205.0,1.8204961451247166,0.28367497826342686,1.052,1.554,1.758,2.159,2.846
CP_t30,2205.0,1.8189133786848073,0.2841019876875977,1.022,1.548,1.758,2.158,2.85
CP_t31,2205.0,1.817078911564626,0.2834434843732706,1.028,1.55,1.757,2.157,2.852
CP_t32,2205.0,1.8148680272108844,0.2836161491392804,1.022,1.547,1.755,2.156,2.831
CP_t33,2205.0,1.8108290249433106,0.2836677673661036,1.024,1.546,1.743,2.153,2.847
CP_t34,2205.0,1.8072163265306123,0.28320794228234303,1.048,1.546,1.74,2.149,2.85
CP_t35,2205.0,1.8026335600907029,0.2842241979476424,1.033,1.542,1.735,2.146,2.85
CP_t36,2205.0,1.7982920634920636,0.285106136437081,1.022,1.536,1.731,2.142,2.846
CP_t37,2205.0,1.7946467120181406,0.2867022410798838,1.027,1.528,1.724,2.14,2.839
CP_t38,2205.0,1.7921809523809524,0.287455686476786,1.023,1.524,1.72,2.139,2.831
CP_t39,2205.0,1.7924308390022679,0.28791932940729514,1.024,1.523,1.721,2.141,2.837
CP_t40,2205.0,1.7932539682539683,0.28718864129461474,1.036,1.524,1.722,2.14,2.832
CP_t41,2205.0,1.7950471655328797,0.2859384580065152,1.046,1.527,1.725,2.139,2.82
CP_t42,2205.0,1.7967832199546483,0.2837566059570974,1.036,1.532,1.728,2.139,2.83
CP_t43,2205.0,1.797404081632653,0.2819462040204729,1.044,1.537,1.728,2.137,2.799
CP_t44,2205.0,1.7973383219954648,0.28021681359044126,1.026,1.541,1.725,2.137,2.802
CP_t45,2205.0,1.7959532879818596,0.2788704011365575,1.052,1.541,1.721,2.135,2.822
CP_t46,2205.0,1.7936630385487526,0.27865256929157445,1.072,1.538,1.718,2.133,2.815
CP_t47,2205.0,1.7911873015873014,0.2782076331348637,1.069,1.535,1.716,2.132,2.813
CP_t48,2205.0,1.7893424036281178,0.278157626849306,1.053,1.531,1.714,2.131,2.814
CP_t49,2205.0,1.7892276643990932,0.2772888691048265,1.073,1.532,1.713,2.13,2.798
CP_t50,2205.0,1.7901845804988663,0.27594430172929457,1.071,1.537,1.715,2.13,2.797
CP_t51,2205.0,1.7915999999999999,0.2741566322080611,1.074,1.542,1.714,2.129,2.804
CP_t52,2205.0,1.7938634920634922,0.27247629470403517,1.074,1.547,1.717,2.129,2.8
CP_t53,2205.0,1.794835827664399,0.2720737917759288,1.075,1.549,1.716,2.129,2.803
CP_t54,2205.0,1.7958585034013606,0.2716160164071746,1.087,1.554,1.717,2.13,2.802
CP_t55,2205.0,1.7960984126984127,0.2722902609846006,1.076,1.553,1.716,2.13,2.8
CP_t56,2205.0,1.7952453514739228,0.27354083118807987,1.077,1.551,1.715,2.132,2.806
CP_t57,2205.0,1.7950643990929704,0.27433201073191976,1.081,1.547,1.716,2.131,2.816
CP_t58,2205.0,1.7952861678004535,0.27471129246016657,1.077,1.545,1.717,2.132,2.804
CP_t59,2205.0,1.7966979591836736,0.2744946559971055,1.074,1.545,1.717,2.132,2.814
CP_t60,2205.0,1.805099319727891,0.2737344690577964,1.08,1.553,1.728,2.139,2.826
EPS1_t1,2205.0,2341.4939682539684,76.4693252195689,2227.8,2273.8,2333.8,2413.6,2863.2
EPS1_t2,2205.0,2341.492970521542,76.46999227910614,2227.8,2273.8,2333.8,2413.6,2863.4
EPS1_t3,2205.0,2341.5085714285715,76.47883248658937,2227.8,2273.8,2333.8,2413.6,2863.6
EPS1_t4,2205.0,2341.496054421769,76.47437068654219,2227.8,2273.8,2333.8,2413.6,2863.6
EPS1_t5,2205.0,2341.4925170068027,76.4715137600674,2226.8,2273.8,2333.6,2413.6,2863.6
EPS1_t6,2205.0,2341.4914285714285,76.46125541048465,2227.8,2274.0,2333.6,2413.6,2863.6
EPS1_t7,2205.0,2341.4645804988663,76.46113541241583,2227.4,2274.0,2333.6,2413.6,2863.6
EPS1_t8,2205.0,2341.421405895692,76.46420520541544,2226.8,2273.8,2333.6,2413.6,2863.6
EPS1_t9,2205.0,2341.3431292517007,76.45924061671214,2226.8,2273.8,2333.6,2413.6,2863.6
EPS1_t10,2205.0,2341.237551020408,76.48351924645483,2226.4,2273.6,2333.6,2413.6,2863.6
EPS1_t11,2205.0,2341.101768707483,76.5101375295009,2226.4,2273.4,2333.6,2413.6,2863.6
EPS1_t12,2205.0,2340.9661678004536,76.54224269361936,2226.2,2273.4,2333.6,2413.4,2863.6
EPS1_t13,2205.0,2340.852426303855,76.58344161584434,2226.2,2272.6,2333.6,2413.6,2863.6
EPS1_t14,2205.0,2340.770612244898,76.61845323114025,2226.0,2272.0,2333.6,2413.6,2863.6
EPS1_t15,2205.0,2340.7234467120184,76.64615339480545,2226.0,2271.8,2333.6,2413.6,2863.6
EPS1_t16,2205.0,2340.7727891156464,76.63510958746178,2226.0,2272.0,2333.6,2413.6,2859.6
EPS1_t17,2205.0,2340.865306122449,76.63135489799187,2226.0,2272.0,2333.6,2413.6,2856.6
EPS1_t18,2205.0,2341.084535147392,76.61401762276607,2226.0,2272.6,2333.6,2413.8,2854.6
EPS1_t19,2205.0,2341.3713378684806,76.6215877416739,2226.0,2273.2,2333.6,2413.8,2853.0
EPS1_t20,2205.0,2341.85387755102,76.68945106942563,2226.0,2273.4,2333.8,2414.2,2852.0
EPS1_t21,2205.0,2342.4349206349207,76.80081264904125,2226.0,2274.0,2333.8,2415.6,2851.4
EPS1_t22,2205.0,2343.2265759637185,76.93633449567247,2226.0,2275.6,2334.0,2415.8,2850.8
EPS1_t23,2205.0,2344.166167800454,77.15823065119031,2226.0,2277.2,2335.6,2417.2,2850.6
EPS1_t24,2205.0,2345.272199546485,77.28816052693396,2226.0,2278.4,2335.8,2417.6,2850.4
EPS1_t25,2205.0,2346.4798185941045,77.44519410984246,2226.0,2280.0,2337.6,2418.0,2850.2
EPS1_t26,2205.0,2347.9151927437642,77.62249642643202,2226.0,2283.4,2338.8,2419.2,2850.0
EPS1_t27,2205.0,2349.623854875283,77.80224193379317,2226.0,2284.0,2339.6,2419.6,2850.0
EPS1_t28,2205.0,2351.603446712018,78.00212982167427,2227.8,2286.0,2342.0,2420.2,2850.0
EPS1_t29,2205.0,2353.877732426304,78.21157097991421,2229.6,2287.6,2344.6,2422.0,2850.0
EPS1_t30,2205.0,2356.4177777777777,78.41240232305213,2229.6,2290.4,2347.0,2424.0,2850.0
EPS1_t31,2205.0,2359.3401360544217,78.58055277825493,2229.6,2293.8,2349.6,2427.6,2850.0
EPS1_t32,2205.0,2362.787029478458,78.58499158535069,2233.6,2297.4,2352.2,2429.6,2850.0
EPS1_t33,2205.0,2366.615510204081,78.61169631446037,2233.6,2304.6,2355.0,2432.8,2850.0
EPS1_t34,2205.0,2370.9793197278914,78.44534417174194,2233.6,2309.4,2359.6,2435.4,2850.0
EPS1_t35,2205.0,2375.7055782312923,78.29010334605753,2233.6,2314.4,2364.8,2438.0,2850.0
EPS1_t36,2205.0,2380.7051247165537,78.16870904941003,2233.6,2320.2,2369.4,2441.4,2849.0
EPS1_t37,2205.0,2385.802267573696,78.29088794107328,2239.6,2324.6,2374.0,2443.6,2852.0
EPS1_t38,2205.0,2391.2464399092974,78.31590839936678,2241.4,2330.0,2381.2,2448.0,2851.4
EPS1_t39,2205.0,2396.9143764172336,78.54167791569564,2241.4,2337.4,2387.8,2455.4,2852.8
EPS1_t40,2205.0,2402.9180952380952,79.15652361296583,2249.4,2343.6,2395.2,2463.4,2852.6
EPS1_t41,2205.0,2409.0962358276643,79.93145571592149,2249.4,2349.8,2403.0,2471.4,2853.2
EPS1_t42,2205.0,2415.597369614512,80.95647220792158,2253.4,2353.4,2411.0,2478.8,2853.2
EPS1_t43,2205.0,2422.3364172335605,81.79410520855141,2261.0,2358.8,2418.4,2486.4,2853.4
EPS1_t44,2205.0,2428.911746031746,82.4043632710433,2263.4,2365.4,2425.2,2494.6,2853.4
EPS1_t45,2205.0,2435.420680272109,82.87395809097126,2265.4,2372.0,2430.6,2502.2,2853.6
EPS1_t46,2205.0,2441.9190929705214,83.26483333944921,2269.4,2377.4,2436.0,2509.4,2853.6
EPS1_t47,2205.0,2448.568253968254,83.3982399859166,2277.4,2384.4,2442.4,2516.6,2853.6
EPS1_t48,2205.0,2455.197188208617,83.7937932812044,2281.4,2391.4,2448.0,2522.8,2853.6
EPS1_t49,2205.0,2461.841723356009,84.22077654658834,2293.4,2399.0,2454.8,2530.4,2853.6
EPS1_t50,2205.0,2468.360544217687,84.83558724726043,2293.4,2405.2,2461.2,2536.4,2853.6
EPS1_t51,2205.0,2475.0222222222224,85.2190172638006,2311.4,2411.4,2468.2,2542.4,2853.6
EPS1_t52,2205.0,2482.1191836734697,85.36607738509093,2313.4,2417.8,2473.4,2551.4,2853.6
EPS1_t53,2205.0,2489.2975963718823,85.52912717813354,2317.4,2424.4,2478.6,2560.4,2853.6
EPS1_t54,2205.0,2497.0762811791383,85.25513244766341,2317.4,2431.6,2485.4,2567.2,2853.6
EPS1_t55,2205.0,2504.9269841269843,85.0364221220295,2333.4,2439.0,2493.2,2573.4,2853.6
EPS1_t56,2205.0,2512.928888888889,84.97331205291567,2333.8,2446.0,2500.8,2577.4,2857.6
EPS1_t57,2205.0,2520.6204988662134,85.18107251611725,2335.4,2454.6,2509.2,2583.2,2858.6
EPS1_t58,2205.0,2528.4499773242633,85.29960301357522,2345.4,2461.0,2518.2,2592.0,2860.6
EPS1_t59,2205.0,2536.288072562358,85.804698618666,2355.4,2469.0,2527.4,2601.4,2861.2
EPS1_t60,2205.0,2544.3102947845805,86.80194108743453,2361.4,2475.4,2537.4,2610.4,2861.6
EPS1_t61,2205.0,2552.31537414966,88.14189910516932,2363.4,2483.4,2545.6,2621.6,2862.4
EPS1_t62,2205.0,2560.524988662132,89.63536649169313,2367.4,2490.0,2552.4,2634.4,2862.6
EPS1_t63,2205.0,2568.8868027210883,90.97777791023587,2382.0,2495.6,2563.2,2643.6,2863.0
EPS1_t64,2205.0,2576.8243083900225,92.01620975192323,2389.4,2502.0,2571.4,2653.4,2863.4
EPS1_t65,2205.0,2584.5251700680274,92.9207529119067,2393.4,2509.0,2576.6,2663.4,2863.4
EPS1_t66,2205.0,2592.1613605442176,93.72091652430282,2401.4,2515.4,2585.0,2672.4,2863.4
EPS1_t67,2205.0,2599.809433106576,94.18005085973165,2407.4,2523.4,2591.2,2679.6,2863.4
EPS1_t68,2205.0,2607.433197278912,95.00979252700763,2411.4,2530.4,2598.2,2686.4,2863.4
EPS1_t69,2205.0,2614.908843537415,95.71338480879632,2421.4,2538.0,2606.8,2695.6,2863.4
EPS1_t70,2205.0,2622.2976870748303,96.56781175830636,2433.4,2546.4,2613.8,2703.4,2863.4
EPS1_t71,2205.0,2629.833832199546,97.13466543273125,2439.4,2553.2,2621.8,2711.4,2863.4
EPS1_t72,2205.0,2637.7340589569158,97.29441961904809,2443.4,2560.6,2626.4,2719.4,2863.4
EPS1_t73,2205.0,2645.7362358276646,97.47795775494595,2449.4,2569.4,2633.0,2728.2,2863.4
EPS1_t74,2205.0,2654.300770975057,97.13187634037394,2453.4,2578.0,2642.0,2734.8,2863.4
EPS1_t75,2205.0,2662.86693877551,96.85703864247641,2467.4,2586.0,2650.4,2741.4,2863.4
EPS1_t76,2205.0,2671.532698412698,96.56104153585132,2467.4,2593.2,2659.4,2747.4,2864.4
EPS1_t77,2205.0,2679.8663945578232,96.53202086643321,2473.4,2603.0,2671.2,2756.4,2877.4
EPS1_t78,2205.0,2688.2644897959185,96.35158920843226,2479.4,2609.8,2681.4,2765.2,2881.4
EPS1_t79,2205.0,2696.5325170068027,96.38908871867034,2491.4,2618.0,2691.6,2775.4,2889.2
EPS1_t80,2205.0,2704.8694784580503,96.88224426611004,2499.4,2625.4,2702.6,2785.4,2894.8
EPS1_t81,2205.0,2712.9709750566894,97.42972762482206,2505.4,2633.0,2712.4,2797.2,2899.0
EPS1_t82,2205.0,2721.1834013605444,98.15436487102819,2511.4,2640.8,2719.6,2806.0,2907.0
EPS1_t83,2205.0,2729.3364172335605,98.40778433184802,2523.4,2647.0,2727.8,2814.6,2909.2
EPS1_t84,2205.0,2737.128707482993,98.34368139368107,2527.4,2652.6,2734.8,2823.4,2914.6
EPS1_t85,2205.0,2744.5317913832196,98.00863397053101,2537.4,2659.6,2742.2,2833.4,2919.8
EPS1_t86,2205.0,2751.7549206349204,97.6256600050915,2547.4,2667.2,2751.0,2842.4,2923.4
EPS1_t87,2205.0,2758.7517460317463,96.83021753579739,2549.4,2675.0,2759.2,2850.0,2926.6
EPS1_t88,2205.0,2765.4761904761904,96.2278989168191,2557.4,2684.6,2766.8,2855.0,2929.2
EPS1_t89,2205.0,2771.9445804988663,95.47559752210876,2571.4,2691.2,2775.0,2861.0,2935.2
EPS1_t90,2205.0,2778.116553287982,94.77364246307694,2571.4,2698.0,2782.4,2866.8,2938.4
EPS1_t91,2205.0,2784.2703854875285,93.68692224292694,2571.4,2705.4,2790.2,2872.8,2944.2
EPS1_t92,2205.0,2790.5356916099768,92.0564522440424,2579.4,2714.6,2798.2,2877.8,2946.4
EPS1_t93,2205.0,2796.6540589569167,90.206730999868,2589.4,2721.4,2802.8,2883.0,2951.0
EPS1_t94,2205.0,2802.974965986395,87.83219042175956,2599.4,2731.4,2810.6,2887.4,2952.8
EPS1_t95,2205.0,2809.0611337868486,85.48063513619587,2615.4,2739.0,2814.8,2891.2,2955.4
EPS1_t96,2205.0,2814.9392290249434,83.24713458084159,2625.4,2746.0,2820.4,2895.2,2957.6
EPS1_t97,2205.0,2820.4093424036278,81.28990447569235,2627.4,2753.2,2824.4,2898.4,2959.4
EPS1_t98,2205.0,2825.744126984127,79.26520509567007,2633.4,2759.2,2830.6,2901.4,2960.4
EPS1_t99,2205.0,2830.689160997733,77.51863177169034,2643.4,2765.4,2835.4,2905.4,2961.4
EPS1_t100,2205.0,2835.3370521541956,76.13156006988615,2643.4,2771.0,2840.4,2910.4,2962.4
EPS1_t101,2205.0,2839.6175963718824,74.83991177440977,2659.4,2776.4,2844.8,2914.6,2964.8
EPS1_t102,2205.0,2843.6599546485263,73.6423612175538,2667.4,2780.6,2847.6,2918.6,2966.0
EPS1_t103,2205.0,2847.6280272108847,72.21358968610521,2675.4,2784.4,2851.4,2922.2,2965.2
EPS1_t104,2205.0,2851.3062131519273,70.74891816453325,2677.4,2789.0,2854.8,2925.4,2965.8
EPS1_t105,2205.0,2854.7279818594106,69.32367467846218,2683.4,2792.4,2858.0,2927.4,2966.6
EPS1_t106,2205.0,2857.8186848072564,68.06435818988705,2699.4,2795.8,2860.4,2930.6,2967.2
EPS1_t107,2205.0,2860.7740589569166,66.74335205573182,2699.4,2799.4,2862.8,2932.6,2969.0
EPS1_t108,2205.0,2863.3841269841273,65.60626479413342,2707.4,2801.6,2864.6,2933.6,2972.0
EPS1_t109,2205.0,2865.773605442177,64.53523870265518,2723.2,2804.8,2866.2,2935.2,2973.0
EPS1_t110,2205.0,2867.937777777778,63.62294193188933,2723.4,2807.8,2867.4,2935.8,2974.6
EPS1_t111,2205.0,2869.9795011337874,62.628570745441074,2723.4,2810.4,2868.6,2937.4,2975.2
EPS1_t112,2205.0,2872.0351020408166,61.49025347016291,2731.4,2813.0,2869.6,2937.6,2976.0
EPS1_t113,2205.0,2873.9427664399095,60.30377523194854,2741.4,2815.0,2871.0,2939.0,2976.2
EPS1_t114,2205.0,2875.8700226757373,58.9795734600192,2749.4,2817.6,2872.4,2939.4,2976.6
EPS1_t115,2205.0,2877.589206349207,57.86055277695477,2760.4,2820.2,2873.2,2940.0,2978.4
EPS1_t116,2205.0,2879.189387755102,56.86410501408862,2765.4,2822.4,2874.4,2941.2,2979.6
EPS1_t117,2205.0,2880.6109750566898,56.06305407256699,2769.4,2824.4,2875.2,2941.4,2981.8
EPS1_t118,2205.0,2881.912653061225,55.315196880144136,2773.4,2826.6,2876.8,2941.4,2982.4
EPS1_t119,2205.0,2883.0775510204085,54.72425108150609,2779.4,2829.0,2877.4,2941.4,2982.6
EPS1_t120,2205.0,2884.099682539683,54.25016651633255,2781.4,2831.0,2878.6,2942.4,2982.0
EPS1_t121,2205.0,2885.0246712018143,53.85698754975105,2783.4,2832.4,2879.4,2943.0,2981.0
EPS1_t122,2205.0,2885.8750113378687,53.5341465105737,2787.4,2833.4,2880.8,2943.4,2980.8
EPS1_t123,2205.0,2886.6809977324265,53.20123481249239,2789.4,2834.2,2881.4,2943.4,2982.4
EPS1_t124,2205.0,2887.422040816327,52.90578864585342,2789.4,2835.0,2882.6,2943.4,2983.0
EPS1_t125,2205.0,2888.0832653061225,52.61064079369437,2791.4,2835.4,2883.0,2943.4,2984.2
EPS1_t126,2205.0,2888.6740136054423,52.37107339875811,2794.4,2836.0,2883.4,2943.6,2984.4
EPS1_t127,2205.0,2889.19873015873,52.135053559376345,2795.4,2837.4,2884.4,2944.2,2985.0
EPS1_t128,2205.0,2889.6576870748304,51.93657631436395,2795.4,2837.4,2885.4,2944.6,2985.2
EPS1_t129,2205.0,2890.055328798186,51.76651463208276,2799.4,2838.8,2885.4,2944.8,2985.4
EPS1_t130,2205.0,2890.41768707483,51.61869653735949,2801.4,2839.4,2885.6,2945.0,2985.4
EPS1_t131,2205.0,2890.733242630386,51.489561314616815,2801.4,2839.4,2886.6,2945.2,2985.4
EPS1_t132,2205.0,2891.0489795918365,51.329168988225554,2803.4,2840.0,2887.0,2945.2,2985.4
EPS1_t133,2205.0,2891.3286167800456,51.177926366090894,2803.4,2840.8,2887.4,2945.2,2985.4
EPS1_t134,2205.0,2891.606439909297,51.01341639013886,2803.4,2841.4,2887.4,2945.2,2985.4
EPS1_t135,2205.0,2891.8519727891157,50.866726704451835,2803.4,2842.0,2887.4,2945.4,2985.4
EPS1_t136,2205.0,2892.0694784580505,50.75285083094685,2803.4,2842.6,2887.4,2945.4,2985.4
EPS1_t137,2205.0,2892.266303854876,50.65439295440363,2803.4,2843.0,2887.4,2945.4,2986.4
EPS1_t138,2205.0,2892.44126984127,50.5700127621525,2803.4,2843.4,2887.4,2945.4,2987.2
EPS1_t139,2205.0,2892.5920181405895,50.51202880728852,2803.4,2843.4,2887.6,2945.4,2988.0
EPS1_t140,2205.0,2892.719002267574,50.45064025810132,2803.4,2843.4,2887.6,2945.4,2988.2
EPS1_t141,2205.0,2892.8185941043084,50.40733388381921,2803.4,2843.4,2887.8,2945.4,2988.6
EPS1_t142,2205.0,2892.9152834467127,50.370813426602936,2803.4,2843.4,2887.6,2945.4,2988.8
EPS1_t143,2205.0,2893.0068027210887,50.33501782097371,2803.6,2844.0,2888.0,2945.4,2989.0
EPS1_t144,2205.0,2893.090068027211,50.30506929318819,2803.6,2844.4,2888.4,2945.4,2989.0
EPS1_t145,2205.0,2893.1681632653062,50.27871521576786,2803.6,2844.8,2889.0,2945.4,2989.0
EPS1_t146,2205.0,2893.236916099773,50.25393121040869,2803.6,2845.0,2889.0,2945.4,2989.0
EPS1_t147,2205.0,2893.2973242630383,50.222711772400956,2803.6,2845.0,2889.0,2945.4,2989.0
EPS1_t148,2205.0,2893.3342403628117,50.20671436527182,2803.6,2845.2,2889.4,2945.4,2989.0
EPS1_t149,2205.0,2893.387210884354,50.1954528247051,2803.4,2845.4,2889.4,2945.4,2989.0
EPS1_t150,2205.0,2893.4127891156463,50.17701804062901,2802.4,2845.4,2889.4,2945.4,2989.0
